label,message
0,jurong point crazy available bugis n great world la e buffet cine amore wat
0,ok lar joke wif u oni
1,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
0,u dun early hor u c
0,nah think usf live
1,freemsg hey darle 3 week word d like fun tb ok xxx std chgs send å150 rcv
0,brother like speak treat like aids patent
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
1,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour
1,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030
0,m home soon want talk stuff anymore tonight k ve cry today
1,chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info
1,urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
0,ve search right word thank breather promise help grant fulfil promise wonderful blessing time
0,date sunday
1,xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watch
0,eh u remember 2 spell yes v naughty v wet
0,fine thatåõs way u feel thatåõs way gota b
1,england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16
0,seriously spell
0,iûm try 2 month ha ha joke
0,ì pay lar da stock comin
0,aft finish lunch str lor ard 3 smth lor u finish ur lunch
0,ffffffffff alright way meet soon
0,force eat slice m hungry tho suck mark worry know m sick turn pizza lol
0,lol convincing
0,catch bus   fry egg   tea eat mom leave dinner   feel love
0,m amp pack car ill let know s room
0,ahhh work vaguely remember feel like lol
0,wait s clear sure sarcastic s x want live
0,yeah 2 v apologetic n fall actin like spoil child catch till 2 badly cheer
0,k tell
0,fear faint housework quick cuppa
1,thank subscription ringtone uk mobile charge å5month confirm reply yes reply charge
0,yup ok home look timing msg ì xuhui learn 2nd lesson 8
0,oop ill let know roommate
0,letter b car
0,lor u decide
0,hello s saturday texte d decide tomo m try invite
0,pls ahead watts want sure great weekend abiola
0,forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummy
