label,full_message,message_clean
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...   ",jurong point crazy available bugis n great world la e buffet cine amore wat
0,Ok lar... Joking wif u oni...   ,ok lar joke wif u oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's   ,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
0,U dun say so early hor... U c already then say...   ,u dun early hor u c
0,"Nah I don't think he goes to usf, he lives around here though   ",nah think usf live
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv   ",freemsg hey darle 3 week word d like fun tb ok xxx std chgs send å150 rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.   ,brother like speak treat like aids patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune   ,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.   ,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030   ,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.   ",m home soon want talk stuff anymore tonight k ve cry today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info   ",chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18   ",urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.   ,ve search right word thank breather promise help grant fulfil promise wonderful blessing time
0,I HAVE A DATE ON SUNDAY WITH WILL!!   ,date sunday
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL   ",xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,Oh k...i'm watching here:)   ,oh kim watch
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.   ,eh u remember 2 spell yes v naughty v wet
