label,message,message_encoded,len_message
0,jurong point crazy available bugis n great world la e buffet cine amore wat,"[233, 447, 462, 944, 35, 52, 205, 945, 78, 946, 58]",11
0,ok lar joke wif u oni,"[10, 194, 463, 289, 1]",5
1,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,"[12, 298, 3, 534, 666, 33, 857, 423, 20, 158, 298, 24, 234]",13
0,u dun early hor u c,"[1, 125, 150, 1, 85]",5
0,nah think usf live,"[711, 22, 667, 129]",4
1,freemsg hey darle 3 week word d like fun tb ok xxx std chgs send å150 rcv,"[613, 55, 94, 39, 122, 30, 14, 243, 10, 227, 772, 13, 290]",13
0,brother like speak treat like aids patent,"[390, 14, 159, 407, 14]",5
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[668, 357, 712, 424, 713, 235, 669, 63, 712]",9
1,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour,"[464, 448, 244, 116, 254, 947, 69, 714, 49, 49, 264, 341, 535, 135]",14
1,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030,"[34, 773, 171, 1, 32, 858, 326, 68, 370, 34, 206, 12, 34, 326, 948, 12]",16
0,m home soon want talk stuff anymore tonight k ve cry today,"[2, 26, 112, 15, 115, 154, 859, 114, 98, 67, 949, 25]",12
1,chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info,"[184, 33, 91, 465, 278, 24, 13, 189, 131, 234, 29, 7, 715]",13
1,urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"[109, 33, 79, 39, 12, 69, 24, 122, 49, 342, 466]",11
0,ve search right word thank breather promise help grant fulfil promise wonderful blessing time,"[67, 358, 70, 122, 65, 564, 119, 564, 467, 18]",10
0,date sunday,"[195, 860]",2
1,xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"[160, 291, 950, 716, 670, 24, 61, 950]",8
0,oh kim watch,"[53, 103]",2
0,eh u remember 2 spell yes v naughty v wet,"[614, 1, 228, 3, 75, 132, 132]",7
0,fine thatåõs way u feel thatåõs way gota b,"[155, 66, 1, 64, 66, 108]",6
1,england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16,"[717, 132, 44, 449, 24, 4, 615, 951, 861, 616, 717, 861, 131]",13
0,seriously spell,[774],1
0,iûm try 2 month ha ha joke,"[48, 3, 171, 468, 468, 463]",6
0,ì pay lar da stock comin,"[45, 147, 194, 43, 671]",5
0,aft finish lunch str lor ard 3 smth lor u finish ur lunch,"[408, 105, 161, 27, 371, 94, 469, 27, 1, 105, 4, 161]",12
0,ffffffffff alright way meet soon,"[343, 66, 56, 112]",4
0,force eat slice m hungry tho suck mark worry know m sick turn pizza lol,"[130, 2, 536, 450, 952, 775, 219, 8, 2, 776, 565, 862, 95]",13
0,lol convincing,[95],1
0,catch bus   fry egg   tea eat mom leave dinner   feel love,"[470, 255, 130, 372, 54, 220, 64, 19]",8
0,m amp pack car ill let know s room,"[2, 80, 165, 17, 72, 8, 6, 193]",8
0,ahhh work vaguely remember feel like lol,"[38, 228, 64, 14, 95]",5
0,wait s clear sure sarcastic s x want live,"[50, 6, 777, 99, 6, 136, 15, 129]",8
0,yeah 2 v apologetic n fall actin like spoil child catch till 2 badly cheer,"[76, 3, 132, 35, 499, 14, 718, 470, 327, 3, 617]",11
0,k tell,"[98, 21]",2
0,fear faint housework quick cuppa,[863],1
1,thank subscription ringtone uk mobile charge å5month confirm reply yes reply charge,"[65, 256, 471, 34, 207, 566, 29, 75, 29, 207]",10
0,yup ok home look timing msg ì xuhui learn 2nd lesson 8,"[172, 10, 26, 97, 82, 45, 864, 265, 299, 373]",10
0,oop ill let know roommate,"[953, 17, 72, 8, 865]",5
0,letter b car,"[866, 108, 165]",3
0,lor u decide,"[27, 1, 292]",3
0,hello s saturday texte d decide tomo m try invite,"[146, 6, 472, 778, 30, 292, 451, 2, 48, 359]",10
0,pls ahead watts want sure great weekend abiola,"[59, 954, 15, 99, 52, 190, 672]",7
0,forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummy,"[173, 21, 15, 23, 618, 19, 208]",7
1,07732584351   rodger burn   msg   try reply sms free nokia mobile   free camcorder 08000930705 delivery tomorrow,"[82, 48, 29, 360, 12, 104, 34, 12, 500, 473, 361, 74]",12
0,,[],0
0,great hope like man endowed   ltgt   inch,"[52, 46, 14, 127, 11]",5
0,callsmessagesmisse,[],0
0,hep b immunisation nigeria,"[108, 867]",2
0,fair,[],0
0,yeah hopefully tyler maybe ask bit,"[76, 257, 42, 156]",4
0,u know stubborn want hospital tell mark m weak sucker hospital weak sucker,"[1, 8, 15, 619, 21, 775, 2, 619]",8
0,think time class,"[22, 18, 151]",3
0,gram usually run like   ltgt   half eighth smart second gram   ltgt,"[201, 14, 11, 196, 374, 11]",6
0,k fyi x ride early tomorrow morning s crash place tonight,"[98, 136, 150, 74, 86, 6, 110, 114]",8
0,wow realize embarassed accomodation think like good happy cave m sorry m sorry offer m sorry room embarasse,"[620, 955, 22, 14, 9, 60, 2, 31, 2, 31, 152, 2, 31, 193]",14
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,"[391, 37, 153, 868, 621, 106, 29, 106]",8
0,know mallika sherawat yesterday find    lturlgt,"[8, 344, 71]",3
1,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss,"[501, 79, 92, 162, 869, 474, 3, 85, 132, 567, 7, 12, 44]",13
0,sorry ill later meeting,"[31, 17, 40, 362]",4
0,tell reach,"[21, 141]",2
0,yesgauti sehwag odi series,[],0
0,pick 1 burger way home pain kill,"[73, 79, 66, 26, 300, 956]",6
0,ha ha ha good joke girl situation seeker,"[468, 468, 468, 9, 463, 142, 719]",7
0,check iq,[128],1
0,sorry roommate forever ok come,"[31, 865, 720, 10, 5]",5
0,ok lar double check wif da hair dresser wun cut v short cut look nice,"[10, 194, 345, 128, 289, 43, 328, 957, 475, 132, 568, 475, 97, 120]",14
1,value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589,"[448, 116, 537, 312, 107, 375, 69]",7
0,today song dedicated day song u dedicate send ur valuable frnd rply,"[25, 476, 16, 476, 1, 13, 4, 266, 721]",9
1,urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj,"[109, 4, 107, 622, 346, 221, 49, 24, 267]",9
1,hear new divorce barbie come kens stuff,"[174, 37, 5, 154]",4
0,plane month end,"[171, 106]",2
0,wah lucky man save money hee,"[452, 127, 502, 121, 569]",5
0,finish class,"[105, 151]",2
0,hi babe m home wanna xx,"[41, 81, 2, 26, 197, 623]",6
0,kkwhere youhow perform,[],0
0,u,[1],1
0,wait machan free,"[50, 12]",2
0,s cool gentleman treat dignity respect,"[6, 179, 407]",3
0,like people shy pa,"[14, 137, 245]",3
0,operate   ltgt  ,[11],1
0,look job ta earn,"[97, 163]",2
0,sorry ill later,"[31, 17, 40]",3
0,k ah,"[98, 268]",2
0,ok way home hi hi,"[10, 66, 26, 41, 41]",5
0,place man,"[110, 127]",2
0,yup stop,"[172, 28]",2
0,later network urgnt sm,"[40, 244, 391]",3
0,real u yo need 2 ticket jacket m multis,"[209, 1, 202, 23, 3, 477, 2]",7
0,yes start send request pain come m bed double coin factory cash nitro,"[75, 101, 13, 668, 300, 5, 2, 246, 345, 91]",10
0,m tonight babe,"[2, 114, 81]",3
0,ela kanoil download come wen ur free,"[425, 5, 313, 4, 12]",5
0,yeah donût stand close tho youûll catch,"[76, 673, 301, 450, 470]",5
0,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry,"[31, 300, 10, 56, 47, 363, 68, 279, 117, 148, 958, 18, 31]",13
0,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile,"[100, 870, 100, 300, 100, 871, 14, 503, 100, 236, 1, 100, 19, 1, 100]",15
1,customer service representative 0800 169 6031 10am9pm win guarantee å1000 cash å5000 prize,"[116, 88, 722, 570, 33, 138, 221, 91, 392, 69]",10
0,plan buy later check lido 530 e afternoon u finish work,"[123, 87, 40, 128, 959, 78, 279, 1, 105, 38]",10
1,free ringtone wait collect simply text password mix 85069 verify usher britney fml   po box 5249   mk17 92h 450ppw 16,"[12, 256, 50, 237, 20, 960, 222, 198, 131]",9
0,watch telugu moviewat abt u,"[103, 302, 1]",3
0,finish load loan pay,"[105, 624, 674, 147]",4
0,hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uham,"[41, 329, 10, 75, 156, 201, 723, 23, 26, 35, 571, 376, 426]",13
0,text anymore,"[20, 859]",2
0,okay ur price long legal wen pick y u ave x ams xx,"[303, 4, 314, 143, 313, 73, 148, 1, 872, 136, 623]",11
0,m look car buy 4the drive test,"[2, 97, 165, 87, 185, 304]",6
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[668, 357, 712, 424, 713, 235, 669, 63, 712]",9
0,wow right mean guess boston man change search location nyc change cuz signin page boston,"[620, 70, 117, 180, 127, 238, 358, 961, 238, 962, 675]",11
0,umma life vava umma love lot dear,"[963, 83, 963, 19, 133, 57]",6
0,thank lot wish birthday thank birthday truly memorable,"[65, 133, 102, 210, 65, 210]",6
0,aight ill hit cash,"[239, 17, 504, 91]",4
0,ip address test consider computer minecraft server,"[377, 304, 572]",3
0,know grumpy old people mom like lie play joke,"[8, 393, 137, 372, 14, 964, 153, 463]",8
0,worry guess s busy,"[219, 180, 6, 409]",4
0,plural noun research,[],0
0,dinnermsg,[],0
